Country,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO_Code
Afghanistan,1756,1167,1699,2353,2275,2472,2509,2509,2432,2396,2386,2355,4
Albania,5338,7219,9769,12176,12702,12176,12898,12898,13010,13794,14150,14727,8
Algeria,15808,17133,20250,22062,21790,21570,21541,21541,22403,23284,23024,22980,12
Angola,3294,3567,5214,6734,6710,7093,7280,7280,7439,6986,6865,6407,24
Argentina,18633,20200,19390,24678,26077,25542,26002,26002,25457,24394,24541,23418,32
Armenia,2827,4409,7955,10150,9770,10473,11078,11078,11380,11269,12294,12582,51
Australia,38073,43798,47018,48252,48483,49952,50665,50665,51717,52003,51990,52363,36
Austria,44339,53739,56866,54650,59600,59312,58844,58844,57604,58366,59314,60303,40
Azerbaijan,4274,5468,9993,20475,19859,20938,21935,21935,21519,20555,20777,20655,31
Bahamas,38462,39123,39213,35026,34833,35755,35255,35255,34828,33737,33805,34290,44
Bahrain,60104,61366,54223,43083,41039,48346,50429,50429,56296,55185,54954,52952,48
Bangladesh,2471,2790,3291,4174,4364,4592,4604,4604,4956,5186,5334,5700,50
Barbados,15902,18269,18535,18592,17989,18508,18140,18140,18018,18391,18445,18292,52
Belarus,6678,9079,13600,19578,20934,21155,21070,21070,20184,19369,20019,20616,112
Belgium,44538,49766,51700,52542,51819,52332,51036,51036,50269,51165,52394,52926,56
Belize,8912,9481,9865,9421,9678,8973,8886,8886,9349,8768,8519,8618,84
Benin,1930,2058,2059,2025,2065,2089,2177,2177,2229,2261,2319,2407,204
Bhutan,3179,4324,5522,7699,8185,8076,8736,8736,9665,10147,10420,10579,64
Bolivia (Plurinational State of),5157,5491,5664,6647,6755,6996,7311,7311,7988,8246,8511,8780,68
Bosnia and Herzegovina,2151,9502,11825,13273,12923,13573,14227,14227,15273,15998,16484,17122,70
Botswana,11622,12424,13702,14605,15924,16479,17250,17250,17356,17255,17499,17853,72
Brazil,14446,14427,14269,17604,17529,17370,19095,19095,16348,17747,17704,17827,76
Brunei Darussalam,117078,107442,107031,99508,93647,93123,91024,91024,89831,88186,87388,86072,96
Bulgaria,9909,10784,15067,18171,18335,18883,18821,18821,20312,21620,22954,23904,100
Burkina Faso,1087,1331,1621,1728,1758,1843,1888,1888,1883,1927,1996,2077,854
Burundi,901,818,765,790,621,630,641,641,602,579,563,555,108
Cabo Verde,3370,5081,5948,6873,7063,6955,6937,6937,6746,6976,7170,7497,132
Cambodia,1258,1267,2229,2782,3032,3032,3272,3272,3543,3687,3882,4089,116
Cameroon,2659,2859,3194,3350,3393,3432,3505,3505,3730,3786,3807,3858,120
Canada,40410,46742,49306,48524,49346,49690,50300,50300,51372,51248,52118,52218,124
Central African Republic,1084,1030,1024,1182,1225,1284,821,821,853,882,909,935,140
Chad,1285,1217,1884,2237,2182,2297,2289,2289,2401,2203,2081,2056,148
Chile,17485,20144,22000,24410,25678,27122,28063,28063,28793,28836,28229,28932,152
China,3044,4406,6879,11299,12262,13261,14147,14147,16162,17171,18273,19410,156
Colombia,11703,10707,12007,12986,13627,14082,14571,14571,15758,15921,15760,15657,170
Comoros,3211,3285,3161,3089,3125,3146,3202,3202,3150,3139,3142,3030,174
Congo,4737,4202,3499,4624,4547,5424,5849,5849,8728,7735,6929,6621,178
Costa Rica,12667,13045,13448,16047,16285,16624,16711,16711,17470,18558,18842,19016,188
Croatia,16749,18571,23426,23754,24116,23456,23425,23425,24358,24827,26278,26959,191
Cuba,4722,5797,7216,8879,9180,9491,9743,9743,10247,10305,10499,10625,192
Cyprus,32442,35189,40847,39767,39643,36860,34159,34159,35887,36389,37475,38403,196
Czechia,24597,26616,31667,33980,33881,33927,33594,33594,35826,36518,38050,39326,203
C̫te d'Ivoire,3756,3751,3522,3926,3649,3958,4145,4145,4695,5066,5115,5355,384
Denmark,45777,50660,54718,52610,52867,52714,53261,53261,55135,55438,56153,56731,208
Djibouti,2725,2492,2740,3010,3052,3134,3345,3345,3817,4050,4068,4232,262
Dominican Republic,9251,11353,11931,14689,14500,14532,15026,15026,16692,17453,17888,18975,214
Ecuador,10224,9371,11072,12169,12949,13381,13894,13894,13798,13090,13067,12960,218
Egypt,10125,12436,13235,15901,14805,14784,15163,15163,15634,16322,16571,16989,818
El Salvador,7493,7512,7707,7613,7853,8032,7715,7715,8341,8514,8772,8943,222
Equatorial Guinea,2472,11836,26841,26840,27622,29450,28501,28501,28745,26204,23826,21808,226
Eritrea,2829,3073,2744,2292,2460,1855,1905,1905,1927,1918,1967,2011,232
Estonia,14659,19065,27156,27247,29544,31386,32793,32793,34511,35675,37407,38653,233
Eswatini (Kingdom of),8316,8789,11119,10882,11489,11883,12122,12122,12026,12055,11895,11798,748
Ethiopia,729,768,971,1358,1470,1551,1667,1667,1904,2025,2148,2231,231
Fiji,8879,9930,10346,9227,9344,9461,10116,10116,11239,11632,11910,12293,242
Finland,32714,42248,47349,46943,48471,46213,46579,46579,45805,47300,47963,48689,246
France,39595,45355,46698,45301,46214,45569,45470,45470,46281,46549,47845,48507,250
Gabon,26605,21959,21882,18179,17908,19384,19987,19987,20892,20918,20765,20182,266
Gambia,1783,1832,1790,2236,2065,2116,2173,2173,2133,2086,2115,2190,270
Georgia,3164,5052,7772,9497,10212,11134,11233,11233,11804,11848,12353,12929,268
Germany,44371,47371,48480,50289,53275,53339,52865,52865,53863,54229,55143,55652,276
Ghana,2333,2495,2894,3430,3772,3953,4297,4297,4454,4478,4696,4889,288
Greece,30675,34008,37352,35179,31705,30408,29416,29416,29390,29334,29977,30262,300
Guatemala,8178,8463,8543,9023,9415,8857,9292,9292,9537,9742,9838,9970,320
Guinea,1700,1822,1780,1853,1903,1985,2026,2026,2120,2306,2564,2569,324
Guinea-Bissau,2004,1714,1677,1708,1814,1735,1701,1701,1804,1871,1882,1895,624
Guyana,5030,6453,6908,8337,8664,9045,9292,9292,9779,10118,10286,10532,328
Haiti,2119,2152,1880,1794,1861,1887,1923,1923,1945,1951,1949,1949,332
Honduras,4398,4584,4474,4632,4833,4973,4867,4867,5011,5052,5172,5304,340
Hong Kong; China (SAR),44370,45961,53968,63014,67597,66241,68614,68614,70203,73733,77185,79385,344
Hungary,19203,21794,25693,26161,26794,26856,27752,27752,29658,31311,32248,33905,348
Iceland,34440,40256,46357,38534,40690,42109,47152,47152,49228,52618,54760,55827,352
India,3353,4101,5114,6819,7169,7517,7886,7886,8919,9533,10097,10713,356
Indonesia,8036,7640,9184,11081,11520,11985,12539,12539,13178,13792,14219,14788,360
Iran (Islamic Republic of),22033,22832,26040,30513,31109,28751,28436,28436,28192,31049,31783,30250,364
Iraq,12035,21929,19632,23240,23913,26423,26915,26915,25918,28571,27273,26746,368
Ireland,33094,45279,51986,44135,44174,43727,45852,45852,55416,61247,63257,66587,372
Israel,30547,31652,32686,37548,38828,38207,38796,38796,39966,41225,41806,42791,376
Italy,46924,51173,51698,46958,46929,45123,44231,44231,44170,44905,45692,46357,380
Jamaica,9919,9731,10015,9448,9557,9627,9468,9468,9411,9319,9487,9559,388
Japan,44179,46452,48913,50121,49943,50537,51540,51540,52208,51927,52861,53387,392
Jordan,11220,12518,15339,15545,15089,14655,14465,14465,14017,13669,13661,13668,400
Kazakhstan,10593,12953,20216,22738,22846,23813,26107,26107,29502,28090,28026,28198,398
Kenya,2452,2423,2643,2840,2938,2969,3032,3032,3189,3300,3358,3490,404
Korea (Republic of),24033,29793,36381,42018,43384,44132,45016,45016,47241,48110,49115,50242,410
Kuwait,128822,109089,134480,103636,106042,108030,102898,102898,93316,93274,89521,85615,414
Kyrgyzstan,2063,2454,2930,3453,3460,3686,3957,3957,4097,4171,4300,4465,417
Lao People's Democratic Republic,2340,2765,3500,4802,5052,5433,5811,5811,6557,6902,7190,7595,418
Latvia,10725,14333,22157,22040,23796,24838,25919,25919,27715,28332,29822,31520,428
Lebanon,16797,17650,16986,22475,21733,20987,20174,20174,18575,18216,18330,17529,422
Lesotho,2397,2465,2980,3649,3657,3747,3754,3754,3840,3990,3841,3864,426
Liberia,318,1426,1057,1032,1106,1116,1177,1177,1134,1085,1075,1030,430
Libya,32533,31594,36958,46013,17418,38851,18758,18758,14139,13735,17277,18364,434
Lithuania,11904,14739,22821,23930,25630,27028,28789,28789,30248,31253,32976,34558,440
Luxembourg,96516,108755,111181,79101,76102,73831,71587,71587,76657,75872,77721,77847,442
Madagascar,1557,1656,1597,1638,1607,1582,1580,1580,1597,1614,1655,1690,450
Malawi,914,999,1008,1231,1260,1287,1310,1310,1344,1365,1386,1400,454
Malaysia,19383,20895,24637,26164,27095,27525,28050,28050,30320,31091,32499,33279,458
Maldives,11360,13232,12700,14253,14941,14689,14509,14509,14920,15237,15378,15577,462
Mali,1638,1842,2175,2244,2526,2421,2435,2435,2526,2539,2616,2618,466
Malta,31392,36410,38516,38642,39310,38889,38217,38217,42591,42261,42819,44515,470
Mauritania,4287,4428,4894,5036,4998,5093,5251,5251,5307,5318,5371,5462,478
Mauritius,13198,16299,18306,22654,23344,25093,25939,25939,27678,29043,30367,31386,480
Mexico,19224,22965,22453,22139,22369,22689,22455,22455,23486,23873,24183,24287,484
Moldova (Republic of),3597,3284,5268,5770,6080,6152,6717,6717,6811,7167,7575,7861,498
Mongolia,5168,5267,6983,8340,9769,10351,12319,12319,11538,11446,10947,11931,496
Montenegro,..,14069,15335,17262,17917,17719,18305,18305,18202,18650,19918,20633,499
Morocco,6172,7084,8480,10029,10382,10554,10945,10945,11444,11470,11794,12020,504
Mozambique,393,602,797,994,1061,1121,1174,1174,1260,1264,1265,1284,508
Myanmar,1200,1709,3026,4903,5144,5267,5717,5717,6718,7172,7625,8076,104
Namibia,8025,8630,9671,9779,10177,10312,10728,10728,11607,11067,10626,10497,516
Nepal,1587,1992,2063,2419,2508,2667,2819,2819,3170,3171,3370,3510,524
Netherlands,47057,53937,52291,55699,56656,55962,55535,55535,56215,56148,58392,59537,528
New Zealand,30642,33512,37175,38862,39549,40234,40954,40954,42575,43051,43218,43743,554
Nicaragua,4017,4878,5146,5563,5832,6108,6315,6315,5289,5432,5590,5318,558
Niger,949,941,960,..,..,1581,1592,1592,1655,1669,1684,1705,562
Nigeria,3659,3577,4796,5600,5727,5807,6013,6013,6372,6140,5981,5838,566
North Macedonia,10197,11476,12423,14078,14171,14121,14296,14296,15506,15949,15920,16279,807
Norway,60959,69954,76723,70672,70075,70712,70654,70654,74252,74389,75111,75688,578
Oman,57952,66607,61632,61845,55979,56150,55194,55194,52962,53027,50668,50238,512
Pakistan,5887,5917,6777,7017,7113,7243,7416,7416,7812,8109,8353,8604,586
Palestine; State of,6516,7217,6491,7153,7761,8094,8198,8198,8364,8599,8663,8704,275
Panama,11760,13174,14371,18080,20752,21644,22840,22840,22977,23400,24313,24787,591
Papua New Guinea,3219,2821,2814,3199,3230,3302,3171,3171,4160,4240,4188,4106,598
Paraguay,10348,9833,9252,12361,12547,11924,12882,12882,13568,14022,14659,15001,600
Peru,8001,8638,9550,12272,12813,13659,14490,14490,15413,15411,15435,15853,604
Philippines,5178,6247,6944,8208,8297,8756,9295,9295,10103,10343,11042,11518,608
Poland,14070,18460,21535,25582,26850,27188,28055,28055,29975,30541,31975,33738,616
Portugal,28679,32608,31633,30636,31373,29737,30012,30012,30334,31179,32130,32737,620
Qatar,101023,129495,129156,130152,134271,131020,129869,129869,131891,131347,130648,127778,634
Romania,12791,12835,16962,20924,21320,21704,22259,22259,23978,25428,27227,28567,642
Russian Federation,16429,17400,23766,27729,28883,29888,30341,30341,29673,29739,30207,30905,643
Rwanda,803,911,1202,1530,1660,1753,1782,1782,1967,2026,2095,2218,646
Saint Lucia,12081,12386,12106,14075,14456,14258,14081,14081,12808,13595,14025,14045,662
Saint Vincent and the Grenadines,8757,9853,11588,12598,12182,12644,12590,12590,14648,14083,14091,14780,670
Samoa,4289,5303,6698,6672,6951,7048,6846,6846,7131,7571,7675,7685,882
Sao Tome and Principe,2465,2510,3061,3502,3633,3566,3715,3715,3951,4041,4074,4162,678
Saudi Arabia,73265,71011,71424,70525,74175,74979,75260,75260,76776,75406,72578,72325,682
Senegal,3267,3531,3899,3856,3759,3816,3787,3787,3978,4090,4243,4396,686
Serbia,9490,10335,13986,15225,16199,16068,16145,16145,16378,16731,16890,17994,688
Sierra Leone,1030,1007,1187,1356,1374,1621,1843,1843,1456,1360,1501,1525,694
Singapore,61817,68397,77029,88632,82426,83274,84833,84833,85240,86713,89648,92168,702
Slovakia,16921,19616,24622,31086,31966,32906,33297,33297,34714,35779,36683,38044,703
Slovenia,23116,28226,29845,31739,31705,30616,31016,31016,31410,32182,34032,35486,705
Solomon Islands,1852,2267,2100,1654,1814,2237,2387,2387,2482,2425,2399,2469,90
South Africa,11699,11930,13694,14705,14769,14676,14852,14852,14975,14810,14679,14554,710
South Sudan,..,..,..,2754,2704,2534,2685,2685,2360,1897,1705,1633,728
Spain,35036,40854,42566,40081,39096,38289,37590,37590,39549,40279,41334,42252,724
Sri Lanka,6432,7956,9170,12339,13224,14521,14524,14524,15504,16230,16518,16852,144
Sudan,2896,3418,4065,4974,5543,5943,4233,4233,6115,6236,6369,6168,729
Suriname,13626,13260,16220,18387,18437,19074,19573,19573,19114,17014,15417,15869,740
Sweden,35135,44359,50247,51777,52200,50296,50417,50417,52006,52583,53393,53975,752
Switzerland,61953,69371,71619,72847,69811,67608,67724,67724,69027,68189,67299,69645,756
Syrian Arab Republic,7525,7773,9128,10535,9981,7945,6167,6167,4651,4463,4603,4779,760
Tajikistan,1968,1811,2677,4497,4773,5021,5341,5341,5193,5334,5502,5881,762
Tanzania (United Republic of),1627,1823,2139,2447,2564,2426,2525,2525,2903,2998,3104,3175,834
Thailand,11414,11146,13657,15028,14812,15456,15446,15446,16199,16705,17367,18032,764
Timor-Leste,8225,7177,2664,10980,10712,6357,9417,9417,12491,10600,9451,9619,626
Togo,1340,1419,1320,1533,1673,1669,1731,1731,1926,1930,1947,1989,768
Tonga,5937,6332,6625,6852,7047,7179,7092,7092,7481,7514,7721,7748,776
Trinidad and Tobago,16486,23143,32827,36468,33783,34803,36205,36205,38247,35228,35305,34878,780
Tunisia,9478,11645,13328,15499,15049,15496,15697,15697,16335,16451,16532,16722,788
Turkey,18655,21541,25923,25618,27750,28386,30098,30098,32123,32355,33866,34138,792
Turkmenistan,6096,6570,7918,11705,13028,14256,15563,15563,18219,19668,20294,21214,795
Uganda,1120,1279,1485,2016,2139,2140,2147,2147,2214,2230,2216,2247,800
Ukraine,6198,6066,9392,9704,10395,10438,10408,10408,9427,9727,9814,10232,804
United Arab Emirates,146252,145570,119966,67774,69602,71827,76110,76110,84480,86464,86060,85771,784
United Kingdom,37521,42402,46551,48304,48863,48216,48314,48314,49317,49593,50430,50772,826
United States,49593,57344,62015,60900,61578,62555,63289,63289,65669,66146,67078,68064,840
Uruguay,15276,16941,16526,21543,22425,22053,23727,23727,24461,24020,24271,24291,858
Uzbekistan,2955,3240,4009,5574,5925,6358,6837,6837,7369,7639,7926,8277,860
Vanuatu,3030,3376,3069,3459,3422,3266,3444,3444,3258,3358,3389,3413,548
Venezuela (Bolivarian Republic of),21248,20075,20392,20828,21009,21802,21680,21680,18848,15850,13571,11547,862
Viet Nam,2293,3220,3707,4770,4970,5096,5259,5259,5720,6078,6379,6703,704
Yemen,3014,4495,5404,6522,6941,6093,6189,6189,4971,3666,2814,2679,887
Zambia,2288,2439,2817,3661,3820,4133,4081,4081,4223,4220,4133,4164,894
Zimbabwe,3157,3377,2255,1958,2158,2502,2596,2596,2580,2602,2684,3080,716
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,20
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..,28
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,212
Micronesia (Federated States of),..,..,..,..,..,..,..,..,..,..,..,..,583
Grenada,..,..,..,..,..,..,..,..,..,..,..,..,308
Kiribati,..,..,..,..,..,..,..,..,..,..,..,..,296
Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..,..,..,..,659
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,438
Marshall Islands,..,..,..,..,..,..,..,..,..,..,..,..,584
Palau,..,..,..,..,..,..,..,..,..,..,..,..,585
Seychelles,..,..,..,..,..,..,..,..,..,..,..,..,690
